published_at,title,summary,text,url,source,category
2025-11-07T11:18:42+00:00,"Paris prosecutors probe Shein, other online retailers for alleged child pornography content - DD News","<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxQMUR5SHBvdW5UNG9kUGhxNWdia0FwMklrdzZnYlB2QVpFd05hVGJUWkV3R3IyazAwUFlCWERVMzRGUm9lbzZfQUU4TDliZWZtc2RvZHRlamViclVuU1JRWndENnNaRHR6Q01tb1ZUWDhDcEFrM08zaGhWdUVieWM1cnFuNWpOYVlwZ2RtYjUzM2ZCNUg3TE1HRExVU1pBcV85UjF5SVhVa1FDR3dxT1cxS2tCUHVvaE0?oc=5"" target=""_blank"">Paris prosecutors probe Shein, other online retailers for alleged child pornography content</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DD News</font>","Paris prosecutors probe Shein, other online retailers for alleged child pornography content",https://news.google.com/rss/articles/CBMitwFBVV95cUxQMUR5SHBvdW5UNG9kUGhxNWdia0FwMklrdzZnYlB2QVpFd05hVGJUWkV3R3IyazAwUFlCWERVMzRGUm9lbzZfQUU4TDliZWZtc2RvZHRlamViclVuU1JRWndENnNaRHR6Q01tb1ZUWDhDcEFrM08zaGhWdUVieWM1cnFuNWpOYVlwZ2RtYjUzM2ZCNUg3TE1HRExVU1pBcV85UjF5SVhVa1FDR3dxT1cxS2tCUHVvaE0?oc=5,https://news.google.com/rss/search?q=ecommerce+OR+e-commerce+OR+online+retail&hl=en-IN&gl=IN&ceid=IN:en,news
2025-11-05T06:52:54+00:00,Scapia forays into e-commerce with launch of travel-focused shopping platform - ET Retail,"<a href=""https://news.google.com/rss/articles/CBMigwJBVV95cUxOcTFXV2lYVXJGYVpza0xtWlVWbGVZRzk1SGFvRThibllUVDU1Sl9LQmJNLXJZNmQxY2s3M1BNTDFJZVMteFNIZ0VMVnNwRTRkM2tIQUwyZjhMT25VaHV1Ri1TbUN1dXV0RVVheWlXSy15eW9EOENyRGZWamlmQko2cTZPVjBQY1plWE81dzNOZHFzWm9jeFI3N0JDT0hnMGdSNExUamZGVFZGRjhlajlDRkVqUFNyM2YxQUk5UE1hanpzNGNtMk1vOXZoQ1drcV9VamRKRzg3WE1VWjNKMXZKektxeEMweHBibGVJQW9TQ3JhR3JVN252NXBEaVktTlc2RF9R?oc=5"" target=""_blank"">Scapia forays into e-commerce with launch of travel-focused shopping platform</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ET Retail</font>",Scapia forays into e-commerce with launch of travel-focused shopping platform,https://news.google.com/rss/articles/CBMigwJBVV95cUxOcTFXV2lYVXJGYVpza0xtWlVWbGVZRzk1SGFvRThibllUVDU1Sl9LQmJNLXJZNmQxY2s3M1BNTDFJZVMteFNIZ0VMVnNwRTRkM2tIQUwyZjhMT25VaHV1Ri1TbUN1dXV0RVVheWlXSy15eW9EOENyRGZWamlmQko2cTZPVjBQY1plWE81dzNOZHFzWm9jeFI3N0JDT0hnMGdSNExUamZGVFZGRjhlajlDRkVqUFNyM2YxQUk5UE1hanpzNGNtMk1vOXZoQ1drcV9VamRKRzg3WE1VWjNKMXZKektxeEMweHBibGVJQW9TQ3JhR3JVN252NXBEaVktTlc2RF9R?oc=5,https://news.google.com/rss/search?q=ecommerce+OR+e-commerce+OR+online+retail&hl=en-IN&gl=IN&ceid=IN:en,news
2025-11-07T05:06:19+00:00,Can cross-border e-commerce push China’s exports past $4t? - Retail Asia,"<a href=""https://news.google.com/rss/articles/CBMiiwFBVV95cUxQeHd5T04tZmtGV1d2c2FvN1k0UTROVmNKMXE3NU1peEtGMjFxRnAyTk9oTlZmdzFKdGROWG5tbkNsWnRKQ01JVm50WnZLM3hEcVNrY2NZbnlHTEdHR2lLaGJjMjdybGV0djIwSlZhRG5QcXZnUVJjSDNQd2QwaXFlOXlxLUIxSzZNaUhB?oc=5"" target=""_blank"">Can cross-border e-commerce push China’s exports past $4t?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Retail Asia</font>",Can cross-border e-commerce push China’s exports past $4t?,https://news.google.com/rss/articles/CBMiiwFBVV95cUxQeHd5T04tZmtGV1d2c2FvN1k0UTROVmNKMXE3NU1peEtGMjFxRnAyTk9oTlZmdzFKdGROWG5tbkNsWnRKQ01JVm50WnZLM3hEcVNrY2NZbnlHTEdHR2lLaGJjMjdybGV0djIwSlZhRG5QcXZnUVJjSDNQd2QwaXFlOXlxLUIxSzZNaUhB?oc=5,https://news.google.com/rss/search?q=ecommerce+OR+e-commerce+OR+online+retail&hl=en-IN&gl=IN&ceid=IN:en,news
2025-11-07T13:14:34+00:00,Market share Dutch online retailer Bol grows despite rivalry with Amazon - RetailDetail EU,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxNMzV0MzFoYTd2ZFVJNFJKVUVIWGRqSWd0Qy1OTDh0YjdmcTM5UlJXbzJsUlFlWl92dGpBQl8xS1AwVFlpTjNZQ1JaUy02cDYyMlZzVFNKY3A3ZnhZZUZsQk9iMG5ES1ZfUG5OYXJpc21nanVZMUFvaUtMWmQ0ZEZPaklCQXptbTBnb1pob0poWWFuUQ?oc=5"" target=""_blank"">Market share Dutch online retailer Bol grows despite rivalry with Amazon</a>&nbsp;&nbsp;<font color=""#6f6f6f"">RetailDetail EU</font>",Market share Dutch online retailer Bol grows despite rivalry with Amazon,https://news.google.com/rss/articles/CBMikgFBVV95cUxNMzV0MzFoYTd2ZFVJNFJKVUVIWGRqSWd0Qy1OTDh0YjdmcTM5UlJXbzJsUlFlWl92dGpBQl8xS1AwVFlpTjNZQ1JaUy02cDYyMlZzVFNKY3A3ZnhZZUZsQk9iMG5ES1ZfUG5OYXJpc21nanVZMUFvaUtMWmQ0ZEZPaklCQXptbTBnb1pob0poWWFuUQ?oc=5,https://news.google.com/rss/search?q=ecommerce+OR+e-commerce+OR+online+retail&hl=en-IN&gl=IN&ceid=IN:en,news
2025-11-07T00:49:41+00:00,Retailers must rethink e-commerce for an algorithm-first future - Inside Retail Asia,"<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxNeWtTX3U2VzVYZWhkTzJoVDJoMTZMRkEwSHRtWkRiVXgycS12cE1KWFNhRVkxQm5MRG1vZk1CWDZuUHEzNWh4WnhXWHJaOXpNb19aSEE2X3B4LWFzb05FaG1qOFlvTnZERnFlTGROYkgxbGNSdkFONmJnNE1aWDNSb1dCVmh3anI2QklGUzZuZVRMbldxdFlNSTRWM2gwUDBMVHJF?oc=5"" target=""_blank"">Retailers must rethink e-commerce for an algorithm-first future</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Inside Retail Asia</font>",Retailers must rethink e-commerce for an algorithm-first future,https://news.google.com/rss/articles/CBMiowFBVV95cUxNeWtTX3U2VzVYZWhkTzJoVDJoMTZMRkEwSHRtWkRiVXgycS12cE1KWFNhRVkxQm5MRG1vZk1CWDZuUHEzNWh4WnhXWHJaOXpNb19aSEE2X3B4LWFzb05FaG1qOFlvTnZERnFlTGROYkgxbGNSdkFONmJnNE1aWDNSb1dCVmh3anI2QklGUzZuZVRMbldxdFlNSTRWM2gwUDBMVHJF?oc=5,https://news.google.com/rss/search?q=ecommerce+OR+e-commerce+OR+online+retail&hl=en-IN&gl=IN&ceid=IN:en,news
2025-11-05T07:53:46+00:00,"Sports, food, online retail: A look at 'King' Kohli's strategic investment portfolio on his 37th birthday - Moneycontrol","<a href=""https://news.google.com/rss/articles/CBMi-wFBVV95cUxOLVY5THNZZ0NnOVFSYWZyUGRqUnpxUXBFVUlULXlyWlpKd2owSTUtLU00a01RWk1DbGkyTUdMZDUxdktpSzhrWERFOUttLWNKSDNhZDJRU3NhYTF6V1pqZXMyUXNXbk5WeXUtRm4wTlNLRFdjRlhpaUxZNm9ScDFqbm5DUHdQclZkUWZCeDlpZHVicXhWOUtaWEdqV2VRdUc0UDZaeGd1RG9aRVRVUzExUjBTd1NuNjVKSFh1QTZJOUJyM2dYX2xtbkpZcnpaaE50UnJxejdNMGhMcFdJUG5RN3JEdUJpUHdodElYai1xUHJZYVk0eFlWdU1DONIBgAJBVV95cUxPaVVpaExSOFYtN3B5Y3hzV3pOR2xtdFhLdUJqblhncVhBWDRDcGRCVFlwbDItZWhGcEpTVGRTUmpiV1VZOXlFeW1WNi0wQ1BmeGd1U1M3cFpsQms0SGV2VnNQUUdCNmNjVmpYVjFScFV3R3FyUENrWVdoOEQzd1YxVU5yNVlPeE50dDVCalNpUDFXY01PSVB5d1IzRHRDMWdXRElYSmxtdTJmaHFZRnh4NEx2Skk4Q180NFF3SHIyNFg3MVgzU25ZU3p6UGtZZEt1dTQ4SFAyM2ViOU9yWWlVc3VmckJXUW5vbW1XN1BNTjZWUnQ5alRXLTB2ZnhCdlRL?oc=5"" target=""_blank"">Sports, food, online retail: A look at 'King' Kohli's strategic investment portfolio on his 37th birthday</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol</font>","Sports, food, online retail: A look at 'King' Kohli's strategic investment portfolio on his 37th birthday",https://news.google.com/rss/articles/CBMi-wFBVV95cUxOLVY5THNZZ0NnOVFSYWZyUGRqUnpxUXBFVUlULXlyWlpKd2owSTUtLU00a01RWk1DbGkyTUdMZDUxdktpSzhrWERFOUttLWNKSDNhZDJRU3NhYTF6V1pqZXMyUXNXbk5WeXUtRm4wTlNLRFdjRlhpaUxZNm9ScDFqbm5DUHdQclZkUWZCeDlpZHVicXhWOUtaWEdqV2VRdUc0UDZaeGd1RG9aRVRVUzExUjBTd1NuNjVKSFh1QTZJOUJyM2dYX2xtbkpZcnpaaE50UnJxejdNMGhMcFdJUG5RN3JEdUJpUHdodElYai1xUHJZYVk0eFlWdU1DONIBgAJBVV95cUxPaVVpaExSOFYtN3B5Y3hzV3pOR2xtdFhLdUJqblhncVhBWDRDcGRCVFlwbDItZWhGcEpTVGRTUmpiV1VZOXlFeW1WNi0wQ1BmeGd1U1M3cFpsQms0SGV2VnNQUUdCNmNjVmpYVjFScFV3R3FyUENrWVdoOEQzd1YxVU5yNVlPeE50dDVCalNpUDFXY01PSVB5d1IzRHRDMWdXRElYSmxtdTJmaHFZRnh4NEx2Skk4Q180NFF3SHIyNFg3MVgzU25ZU3p6UGtZZEt1dTQ4SFAyM2ViOU9yWWlVc3VmckJXUW5vbW1XN1BNTjZWUnQ5alRXLTB2ZnhCdlRL?oc=5,https://news.google.com/rss/search?q=ecommerce+OR+e-commerce+OR+online+retail&hl=en-IN&gl=IN&ceid=IN:en,news
2025-11-05T15:57:58+00:00,"Shein faces French heat over sex dolls, weapons sale on day of Paris store debut - India Today","<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxQOFQ3UFRnTlNXT0N5cHR2RXpsNmR0cnRTSDgxVWRJeFpWZGNqTjV0cDYyNGI5U0dNQndsNmprMlREQmpzYUNkRmowdkpVS09vS0p0V2xKUnVlN0NfZ1FDOEF1b3JKTkUtX3M5WGNzQnJ4Y0k1MllSaFRWaXRYN1AzTThTOGxHNHdlVGstMDdBZHp3SzUxMlVoQkdpRkNRbWVITTFvN1F4Mm1INFE4YklTVTRuMjBkMlZTZGhFUU5JdS1fcWw4RXA2dFVSbE9CWTRQdkJDdlNPcUhxVU9rZWFrb0VHWE1tQdIB6wFBVV95cUxPclo5Yk1abnMzQnkxZmpHaDRUazdJeXFXY3JSamxTbzIyVTN1X3pJNEh3eDVTZGRPaTNTVEdaN2tXWlZMd0JrSTBoTjRCSDJudjBCOGdSV0NvVjR6OW9FWWlVaTZkX3EzTzB2bUNrelVXUmk3ZVpOanF4UnpxM21xUE9xbDZiSWE3d0tZSlBURVlBX1k4VUtLaXB2YmlWbFBWb0hYUW9hbU9qbkoxZEpmNVZNOC1FaW9Kb0E3UWN3ZzBMcTlDajRkcW1lMTNlVXY5VUFtWEx1WHhVSGRUSU9TVmdmbmNEby1iZXVr?oc=5"" target=""_blank"">Shein faces French heat over sex dolls, weapons sale on day of Paris store debut</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>","Shein faces French heat over sex dolls, weapons sale on day of Paris store debut",https://news.google.com/rss/articles/CBMi5gFBVV95cUxQOFQ3UFRnTlNXT0N5cHR2RXpsNmR0cnRTSDgxVWRJeFpWZGNqTjV0cDYyNGI5U0dNQndsNmprMlREQmpzYUNkRmowdkpVS09vS0p0V2xKUnVlN0NfZ1FDOEF1b3JKTkUtX3M5WGNzQnJ4Y0k1MllSaFRWaXRYN1AzTThTOGxHNHdlVGstMDdBZHp3SzUxMlVoQkdpRkNRbWVITTFvN1F4Mm1INFE4YklTVTRuMjBkMlZTZGhFUU5JdS1fcWw4RXA2dFVSbE9CWTRQdkJDdlNPcUhxVU9rZWFrb0VHWE1tQdIB6wFBVV95cUxPclo5Yk1abnMzQnkxZmpHaDRUazdJeXFXY3JSamxTbzIyVTN1X3pJNEh3eDVTZGRPaTNTVEdaN2tXWlZMd0JrSTBoTjRCSDJudjBCOGdSV0NvVjR6OW9FWWlVaTZkX3EzTzB2bUNrelVXUmk3ZVpOanF4UnpxM21xUE9xbDZiSWE3d0tZSlBURVlBX1k4VUtLaXB2YmlWbFBWb0hYUW9hbU9qbkoxZEpmNVZNOC1FaW9Kb0E3UWN3ZzBMcTlDajRkcW1lMTNlVXY5VUFtWEx1WHhVSGRUSU9TVmdmbmNEby1iZXVr?oc=5,https://news.google.com/rss/search?q=ecommerce+OR+e-commerce+OR+online+retail&hl=en-IN&gl=IN&ceid=IN:en,news
2025-11-06T13:02:13+00:00,"AI Shopping Surge Exposes Retailers’ Slow, Cautious Response - E-Commerce Times","<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxNTV9TUHMwamkyZmFPTXNKemlxZElzQU13VmYxRWh3a1UtTHBWVE81Nk9keW5uQU9WLV9RTGp0MnJFVkJOUnQwaEc4bFF0SldyWC1FVEktZ0Q4cGFhV0FrNENiRWd3QzZpV3BfNXRCSFBxRzJ4X3hvQTlDME5fbXdEaVZRd2daTFpRYXNuSjFqX25UMUFMeTFaRjlURWhDc3VfWXFWOUl5a0NoR0U?oc=5"" target=""_blank"">AI Shopping Surge Exposes Retailers’ Slow, Cautious Response</a>&nbsp;&nbsp;<font color=""#6f6f6f"">E-Commerce Times</font>","AI Shopping Surge Exposes Retailers’ Slow, Cautious Response",https://news.google.com/rss/articles/CBMiqwFBVV95cUxNTV9TUHMwamkyZmFPTXNKemlxZElzQU13VmYxRWh3a1UtTHBWVE81Nk9keW5uQU9WLV9RTGp0MnJFVkJOUnQwaEc4bFF0SldyWC1FVEktZ0Q4cGFhV0FrNENiRWd3QzZpV3BfNXRCSFBxRzJ4X3hvQTlDME5fbXdEaVZRd2daTFpRYXNuSjFqX25UMUFMeTFaRjlURWhDc3VfWXFWOUl5a0NoR0U?oc=5,https://news.google.com/rss/search?q=ecommerce+OR+e-commerce+OR+online+retail&hl=en-IN&gl=IN&ceid=IN:en,news
2025-11-06T03:00:00+00:00,Salesforce Recognizes Katzion for Pioneering Online-to-Offline Retail Solution with Audi Singapore - Business Wire,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxOQkhUdC0tOERnYXM5Q285eTRXNUpNd2MyMng3T19qbDRtRG1FbGE0YmU4NlZqYkJxUDNsTHNaYVpnUHoxM0RCSGtiM3hzYnE0LW1ZTXdqcXFYWlN2dFJtODItOUdrbTVVN25pNVpsZ3dTTFhIOEZLb3BTZm5ib3VFa3dLcDZ1YnF2WWdJMXRqelQ3U1lURXNxOTM2QjN0ZXczdWttck95TTQ3dFFoLUw2T2VlY1JiR1VqWWNkbm1sakRpRzlVZHFVN1JfRExxd0M3UlFzdEJkSU44T1BjSnBocFlwMHpfUmtWeU1v?oc=5"" target=""_blank"">Salesforce Recognizes Katzion for Pioneering Online-to-Offline Retail Solution with Audi Singapore</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Wire</font>",Salesforce Recognizes Katzion for Pioneering Online-to-Offline Retail Solution with Audi Singapore,https://news.google.com/rss/articles/CBMi6wFBVV95cUxOQkhUdC0tOERnYXM5Q285eTRXNUpNd2MyMng3T19qbDRtRG1FbGE0YmU4NlZqYkJxUDNsTHNaYVpnUHoxM0RCSGtiM3hzYnE0LW1ZTXdqcXFYWlN2dFJtODItOUdrbTVVN25pNVpsZ3dTTFhIOEZLb3BTZm5ib3VFa3dLcDZ1YnF2WWdJMXRqelQ3U1lURXNxOTM2QjN0ZXczdWttck95TTQ3dFFoLUw2T2VlY1JiR1VqWWNkbm1sakRpRzlVZHFVN1JfRExxd0M3UlFzdEJkSU44T1BjSnBocFlwMHpfUmtWeU1v?oc=5,https://news.google.com/rss/search?q=ecommerce+OR+e-commerce+OR+online+retail&hl=en-IN&gl=IN&ceid=IN:en,news
2025-11-07T16:52:13+00:00,Retail and online sales dip as overall GoPro revenue declines 37% year-over-year - Bicycle Retailer & Industry News,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxOSExKMVgyTEFteC1aVHdXank1TkYxQmNqdWtGM0NTZFRnYlVFRlROdWJZaHFxTlJjZG5xSWVzWk1scFVuRm5BejI0ZUVwZXBYanVBb0oxZFAyM2p6Uk1jQjVvZXBkdV8yM1o5VnE0SXJCWjNSVDktMl9DN3gwZG9vTXRxRjk4YV82d3JlMEJVNVlNTnotT1J5eEpLRnZzczR5T2Z5VGxEQ24teWlrYkNUZ2JXaF9EWHEtZjQtanNRbllXdTFjdFE0?oc=5"" target=""_blank"">Retail and online sales dip as overall GoPro revenue declines 37% year-over-year</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bicycle Retailer & Industry News</font>",Retail and online sales dip as overall GoPro revenue declines 37% year-over-year,https://news.google.com/rss/articles/CBMixwFBVV95cUxOSExKMVgyTEFteC1aVHdXank1TkYxQmNqdWtGM0NTZFRnYlVFRlROdWJZaHFxTlJjZG5xSWVzWk1scFVuRm5BejI0ZUVwZXBYanVBb0oxZFAyM2p6Uk1jQjVvZXBkdV8yM1o5VnE0SXJCWjNSVDktMl9DN3gwZG9vTXRxRjk4YV82d3JlMEJVNVlNTnotT1J5eEpLRnZzczR5T2Z5VGxEQ24teWlrYkNUZ2JXaF9EWHEtZjQtanNRbllXdTFjdFE0?oc=5,https://news.google.com/rss/search?q=ecommerce+OR+e-commerce+OR+online+retail&hl=en-IN&gl=IN&ceid=IN:en,news
